Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
APPLE,ULTRABOOK,-1.2044068787278503,2560x1600,0.0024260494101592586,-0.07519506268436271,-1.0261617439665107,Intel Iris Plus Graphics 640,MACOS,-1.0052832259279667,0.30913174143135924
APPLE,ULTRABOOK,-1.2044068787278503,1440x900,-0.9854309447893159,-0.07519506268436271,-1.0261617439665107,Intel HD Graphics 6000,MACOS,-1.050381143323216,-0.3216458295655137
HP,NOTEBOOK,0.4087716575222072,1920x1080,0.3975688470899499,-0.07519506268436271,-0.7592444633899191,Intel HD Graphics 620,NO OS,-0.2686839084722321,-0.7852511579017319
APPLE,ULTRABOOK,0.2684952630656809,2880x1800,0.7927116447697404,1.4987674542268743,-0.22540990223673604,AMD Radeon Pro 455,MACOS,-0.3137818258674812,2.0233012903307963
APPLE,ULTRABOOK,-1.2044068787278503,2560x1600,1.5829972401293209,-0.07519506268436271,-0.7592444633899191,Intel Iris Plus Graphics 650,MACOS,-1.0052832259279667,0.9730547919668895
ACER,NOTEBOOK,0.4087716575222072,1366x768,1.3854258412894256,-0.8621763211399812,-0.2504333972907915,AMD Radeon R5,WINDOWS 10,0.09209943068976037,-1.0357016965845516
APPLE,ULTRABOOK,0.2684952630656809,2880x1800,-0.19514534942973516,1.4987674542268743,-0.7592444633899191,Intel Iris Pro Graphics,MAC OS X,0.0019035958992621705,1.454449253534926
APPLE,ULTRABOOK,-1.2044068787278503,1440x900,-0.9854309447893159,-0.07519506268436271,-0.7592444633899191,Intel HD Graphics 6000,MACOS,-1.050381143323216,0.05010883199401005
ASUS,ULTRABOOK,-0.713439498130007,1920x1080,-0.9854309447893159,1.4987674542268743,-0.22540990223673604,Nvidia GeForce MX150,WINDOWS 10,-1.1105116998502147,0.5314031026022346
ACER,ULTRABOOK,-0.713439498130007,1920x1080,-1.380573742469106,-0.07519506268436271,-0.7592444633899191,Intel UHD Graphics 620,WINDOWS 10,-0.659532525897724,-0.5061777005123044
HP,NOTEBOOK,0.4087716575222072,1366x768,0.3975688470899499,-0.8621763211399812,-0.2504333972907915,Intel HD Graphics 620,NO OS,-0.2686839084722321,-1.0444317405117611
HP,NOTEBOOK,0.4087716575222072,1920x1080,-0.5902881471095258,-0.8621763211399812,-0.2504333972907915,Intel HD Graphics 520,NO OS,-0.2686839084722321,-1.114428959276705
APPLE,ULTRABOOK,0.2684952630656809,2880x1800,0.9902830436096349,1.4987674542268743,-0.7592444633899191,AMD Radeon Pro 555,MACOS,-0.3137818258674812,1.8837930341340456
DELL,NOTEBOOK,0.4087716575222072,1920x1080,-0.5902881471095258,-0.8621763211399812,-0.7592444633899191,AMD Radeon R5 M430,WINDOWS 10,0.24242582200725737,-0.8941614173020695
APPLE,ULTRABOOK,-2.116203442695275,2304x1440,-2.170859337828687,-0.07519506268436271,-0.7592444633899191,Intel HD Graphics 615,MACOS,-1.681751986856703,0.19851850432268947
APPLE,ULTRABOOK,-1.2044068787278503,2560x1600,0.0024260494101592586,-0.07519506268436271,-0.7592444633899191,Intel Iris Plus Graphics 640,MACOS,-1.0052832259279667,0.5651064819358766
DELL,NOTEBOOK,0.4087716575222072,1920x1080,0.7927116447697404,-0.07519506268436271,-0.7592444633899191,AMD Radeon R5 M430,WINDOWS 10,0.24242582200725737,-0.5419563488955643
APPLE,ULTRABOOK,0.2684952630656809,2880x1800,1.1878544424495303,1.4987674542268743,-0.22540990223673604,AMD Radeon Pro 560,MACOS,-0.3137818258674812,2.482055012457567
LENOVO,NOTEBOOK,0.4087716575222072,1920x1080,0.19999744825005455,-0.07519506268436271,0.8422592200696303,Nvidia GeForce 940MX,NO OS,0.24242582200725737,-0.8940182489868422
DELL,ULTRABOOK,-1.2044068787278503,1920x1080,-1.380573742469106,-0.07519506268436271,-1.0261617439665107,Intel UHD Graphics 620,WINDOWS 10,-1.2307728129042124,-0.207068200028251
ASUS,NETBOOK,-2.396756231608329,1366x768,-1.6966879806129387,-1.2556669503677904,-1.2263497043989544,Intel HD Graphics 400,WINDOWS 10,-1.5915561520662047,-1.3335232194485018
