Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
APPLE,ULTRABOOK,13.3,2560x1600,2.3,8.0,128.0,Intel Iris Plus Graphics 640,MACOS,1.37,71378.68
APPLE,ULTRABOOK,13.3,1440x900,1.8,8.0,128.0,Intel HD Graphics 6000,MACOS,1.34,47895.52
HP,NOTEBOOK,15.6,1920x1080,2.5,8.0,256.0,Intel HD Graphics 620,NO OS,1.86,30636.0
APPLE,ULTRABOOK,15.4,2880x1800,2.7,16.0,512.0,AMD Radeon Pro 455,MACOS,1.83,135195.34
APPLE,ULTRABOOK,13.3,2560x1600,3.1,8.0,256.0,Intel Iris Plus Graphics 650,MACOS,1.37,96095.81
ACER,NOTEBOOK,15.6,1366x768,3.0,4.0,500.0,AMD Radeon R5,WINDOWS 10,2.1,21312.0
APPLE,ULTRABOOK,15.4,2880x1800,2.2,16.0,256.0,Intel Iris Pro Graphics,MAC OS X,2.04,114017.6
APPLE,ULTRABOOK,13.3,1440x900,1.8,8.0,256.0,Intel HD Graphics 6000,MACOS,1.34,61735.54
ASUS,ULTRABOOK,14.0,1920x1080,1.8,16.0,512.0,Nvidia GeForce MX150,WINDOWS 10,1.3,79653.6
ACER,ULTRABOOK,14.0,1920x1080,1.6,8.0,256.0,Intel UHD Graphics 620,WINDOWS 10,1.6,41025.6
HP,NOTEBOOK,15.6,1366x768,2.5,4.0,500.0,Intel HD Graphics 620,NO OS,1.86,20986.99
HP,NOTEBOOK,15.6,1920x1080,2.0,4.0,500.0,Intel HD Graphics 520,NO OS,1.86,18381.07
APPLE,ULTRABOOK,15.4,2880x1800,2.8,16.0,256.0,AMD Radeon Pro 555,MACOS,1.83,130001.6
DELL,NOTEBOOK,15.6,1920x1080,2.0,4.0,256.0,AMD Radeon R5 M430,WINDOWS 10,2.2,26581.39
APPLE,ULTRABOOK,12.0,2304x1440,1.2,8.0,256.0,Intel HD Graphics 615,MACOS,0.92,67260.67
APPLE,ULTRABOOK,13.3,2560x1600,2.3,8.0,256.0,Intel Iris Plus Graphics 640,MACOS,1.37,80908.34
DELL,NOTEBOOK,15.6,1920x1080,2.7,8.0,256.0,AMD Radeon R5 M430,WINDOWS 10,2.2,39693.6
APPLE,ULTRABOOK,15.4,2880x1800,2.9,16.0,512.0,AMD Radeon Pro 560,MACOS,1.83,152274.24
LENOVO,NOTEBOOK,15.6,1920x1080,2.4,8.0,1024.0,Nvidia GeForce 940MX,NO OS,2.2,26586.72
DELL,ULTRABOOK,13.3,1920x1080,1.6,8.0,128.0,Intel UHD Graphics 620,WINDOWS 10,1.22,52161.12
ASUS,NETBOOK,11.6,1366x768,1.44,2.0,32.0,Intel HD Graphics 400,WINDOWS 10,0.98,10224.43
LENOVO,GAMING,15.6,1920x1080,2.5,8.0,1152.0,Nvidia GeForce GTX 1050,WINDOWS 10,2.5,53226.72
HP,NOTEBOOK,15.6,1366x768,1.5,4.0,500.0,AMD Radeon R2,NO OS,1.86,13746.24
DELL,2 IN 1 CONVERTIBLE,13.3,1920x1080,1.6,8.0,256.0,Intel UHD Graphics 620,WINDOWS 10,1.62,43636.32
HP,ULTRABOOK,15.6,1920x1080,1.8,8.0,256.0,Intel HD Graphics 620,WINDOWS 10,1.91,35111.52
DELL,NOTEBOOK,15.6,1366x768,2.0,4.0,1024.0,Intel HD Graphics 520,WINDOWS 10,2.3,22305.14
APPLE,ULTRABOOK,13.3,1440x900,1.6,8.0,128.0,Intel HD Graphics 6000,MAC OS X,1.35,58554.72
DELL,NOTEBOOK,15.6,1920x1080,1.6,8.0,256.0,AMD Radeon 530,WINDOWS 10,2.2,42624.0
DELL,ULTRABOOK,15.6,1920x1080,1.9,8.0,512.0,Intel UHD Graphics 620,WINDOWS 10,1.88,69157.44
HP,NOTEBOOK,17.3,1920x1080,1.6,8.0,1024.0,Nvidia GeForce 930MX,WINDOWS 10,2.5,47738.88
CHUWI,NOTEBOOK,15.6,1920x1080,1.44,4.0,64.0,Intel HD Graphics,WINDOWS 10,1.89,13053.07
ASUS,NOTEBOOK,14.0,1366x768,1.5,2.0,32.0,AMD Radeon R2,WINDOWS 10,1.65,10602.72
HP,NOTEBOOK,17.3,1920x1080,2.5,4.0,500.0,AMD Radeon 530,WINDOWS 10,2.71,23389.92
DELL,ULTRABOOK,13.3,3200x1800,1.8,16.0,512.0,Intel UHD Graphics 620,WINDOWS 10,1.2,99580.32
APPLE,ULTRABOOK,13.3,1440x900,1.6,8.0,256.0,Intel HD Graphics 6000,MAC OS X,1.35,53173.44
LENOVO,NOTEBOOK,14.0,1366x768,1.1,4.0,64.0,Intel HD Graphics 500,WINDOWS 10,1.44,13266.72
ACER,NOTEBOOK,15.6,1366x768,2.7,4.0,1024.0,Intel HD Graphics 620,LINUX,2.1,19553.76
DELL,NOTEBOOK,17.3,1920x1080,1.6,8.0,1152.0,AMD Radeon 530,WINDOWS 10,2.8,52161.12
HP,NOTEBOOK,15.6,1366x768,2.5,4.0,1024.0,Intel HD Graphics 620,WINDOWS 10,1.86,26037.4
HP,NOTEBOOK,15.6,1920x1080,1.6,8.0,256.0,Nvidia GeForce 930MX ,WINDOWS 10,2.1,46833.12
ASUS,NOTEBOOK,15.6,1920x1080,2.0,4.0,1024.0,Intel HD Graphics 620,LINUX,2.0,20725.92
DELL,GAMING,15.6,1920x1080,2.8,16.0,1280.0,Nvidia GeForce GTX 1060,WINDOWS 10,2.65,79866.72
ASUS,NOTEBOOK,15.6,1366x768,2.5,8.0,1024.0,Nvidia GeForce 940MX,LINUX,2.3,27864.91
ACER,NOTEBOOK,15.6,1920x1080,1.6,4.0,256.0,Intel UHD Graphics 620,WINDOWS 10,2.2,36336.96
DELL,2 IN 1 CONVERTIBLE,17.3,1920x1080,1.6,12.0,1024.0,Nvidia GeForce 150MX,WINDOWS 10,2.77,53226.72
APPLE,ULTRABOOK,13.3,2560x1600,2.0,8.0,256.0,Intel Iris Graphics 540,MACOS,1.37,75604.32
